work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,3,2,39,253000,13,0,12,1
2025,3,2,39,135800,13,0,12,1
2025,3,2,39,251600,91,0,86,1
2025,3,2,39,120100,91,0,86,1
2025,3,2,28,130800,91,0,86,1
2025,3,2,28,87200,91,0,86,1
2025,3,2,284,286000,91,0,86,1
2025,3,2,284,143000,91,0,86,1
2025,3,2,114,113924,32,0,32,1
2025,3,2,114,88607,32,0,32,1
2025,3,2,114,314400,91,0,86,1
2025,3,2,114,161600,91,0,86,1
2025,2,2,114,98300,91,0,86,1
2025,2,2,114,65500,91,0,86,1
2025,3,2,114,183500,91,100,86,1
2025,3,2,114,128300,91,100,86,1
2025,2,2,114,129800,91,0,86,1
2025,2,2,114,70100,91,0,86,1
2025,3,2,114,170040,91,0,86,1
2025,3,2,114,97600,91,0,86,1
2025,0,2,114,142200,91,100,86,1
2025,0,2,114,106900,91,100,86,1
2025,3,2,114,234000,91,0,86,1
2025,3,2,114,90000,91,0,86,1
2025,2,2,140,43205,32,0,32,1
2025,2,2,140,38993,32,0,32,1
2025,2,2,86,251000,91,0,86,1
2025,2,2,86,170200,91,0,86,1
2025,2,2,302,208000,91,0,86,1
2025,2,2,302,147000,91,0,86,1
2025,2,2,302,208000,91,0,86,1
2025,2,2,302,147000,91,0,86,1
2025,2,2,231,237500,91,0,86,1
2025,2,2,231,137750,91,0,86,1
2025,2,2,4,140000,91,100,86,1
2025,2,2,4,110000,91,100,86,1
2025,2,2,98,146000,91,0,86,1
2025,2,2,98,104000,91,0,86,1
2025,0,2,98,90000,91,100,86,1
2025,0,2,98,80000,91,100,86,1
2025,3,2,98,130000,91,0,86,1
2025,3,2,98,110000,91,0,86,1
2025,3,2,98,178375,91,0,86,1
2025,3,2,98,107025,91,0,86,1
2025,2,2,106,128300,91,0,86,1
2025,2,2,106,73300,91,0,86,1
2025,2,2,247,140000,91,100,86,1
2025,2,2,247,130000,91,100,86,1
2025,0,2,98,107760,13,0,12,1
2025,0,2,98,79648,13,0,12,1
2025,2,2,162,100000,91,0,86,1
2025,2,2,162,98000,91,0,86,1
2025,0,2,162,82000,91,0,86,1
2025,0,2,162,51000,91,0,86,1
2025,3,2,162,286000,91,100,86,1
2025,3,2,162,143000,91,100,86,1
2025,3,2,162,180000,91,0,86,1
2025,3,2,162,90000,91,0,86,1
2025,3,2,28,112500,91,0,86,1
2025,3,2,28,67500,91,0,86,1
2025,3,2,162,238000,91,0,86,1
2025,3,2,162,133000,91,0,86,1
2025,3,2,162,200000,91,0,86,1
2025,3,2,162,120000,91,0,86,1
2025,3,2,162,123203,91,0,86,1
2025,3,2,162,89602,91,0,86,1
2025,3,2,0,148500,91,100,86,1
2025,3,2,0,111500,91,100,86,1
2025,2,2,113,110000,91,0,86,1
2025,2,2,113,110000,91,0,86,1
2025,2,2,302,224000,91,0,86,1
2025,2,2,302,212800,91,0,86,1
2025,0,2,302,194000,91,0,86,1
2025,0,2,302,194000,91,0,86,1
2025,0,2,302,337250,91,0,86,1
2025,0,2,302,184300,91,0,86,1
2025,0,2,302,337250,91,0,86,1
2025,0,2,302,184300,91,0,86,1
2025,2,2,301,208000,91,0,86,1
2025,2,2,301,141340,91,0,86,1
2025,2,2,302,202000,91,0,86,1
2025,2,2,302,141000,91,0,86,1
2025,2,2,317,178999,91,0,86,1
2025,2,2,317,172931,91,0,86,1
2025,3,2,322,164800,91,100,86,1
2025,3,2,322,120000,91,100,86,1
2025,0,2,28,234000,91,0,86,1
2025,0,2,28,146000,91,0,86,1
2025,3,2,114,180967,13,0,12,1
2025,3,2,114,125300,13,0,12,1
2025,3,3,40,226900,91,0,86,1
2025,3,3,40,151300,91,0,86,1
2025,0,2,327,33409,15,0,15,1
2025,0,2,327,33409,15,0,15,1
2025,2,2,247,155000,91,0,86,1
2025,2,2,247,80000,91,0,86,1
2025,2,2,298,60000,91,0,86,1
2025,2,2,298,34000,91,0,86,1
2025,3,2,66,181800,91,0,86,1
2025,3,2,66,97400,91,0,86,1
2025,0,2,28,123600,91,0,86,1
2025,0,2,28,82400,91,0,86,1
2025,0,2,28,115000,91,0,86,1
2025,0,2,28,72200,91,0,86,1
2025,0,3,298,49816,32,0,32,1
2025,0,3,298,43205,32,0,32,1
2025,0,2,98,63157,55,0,53,1
2025,0,2,98,35368,55,0,53,1
2025,2,2,114,147000,91,0,86,1
2025,2,2,114,42000,91,0,86,1
2025,3,2,98,165000,91,0,86,1
2025,3,2,98,47000,91,0,86,1
2025,0,2,98,60948,32,0,32,1
2025,0,2,98,45734,32,0,32,1
2025,3,2,98,110000,91,100,86,1
2025,3,2,98,100000,91,100,86,1
2025,3,2,98,158100,91,0,86,1
2025,3,2,98,88500,91,0,86,1
2025,2,2,247,160500,91,0,86,1
2025,2,2,247,96300,91,0,86,1
2025,2,2,162,60948,32,0,32,1
2025,2,2,162,51262,32,0,32,1
2025,3,2,162,82278,32,0,32,1
2025,3,2,162,56962,32,0,32,1
2025,0,2,162,141000,91,0,86,1
2025,0,2,162,62000,91,0,86,1
2025,3,2,39,216000,91,0,86,1
2025,3,2,39,183000,91,0,86,1
2025,2,2,126,120000,91,0,86,1
2025,2,2,126,96000,91,0,86,1
2025,3,2,319,31200,43,100,43,1
2025,3,2,319,30000,43,100,43,1
2025,3,2,114,145440,91,0,86,1
2025,3,2,114,96960,91,0,86,1
2025,3,2,114,246344,91,0,86,1
2025,3,2,114,153965,91,0,86,1
2025,0,2,114,92096,64,0,62,1
2025,0,2,114,55604,64,0,62,1
2025,3,2,114,164120,91,0,86,1
2025,3,2,114,134280,91,0,86,1
2025,2,2,69,106880,13,0,12,1
2025,2,2,69,85540,13,0,12,1
2025,3,2,131,147400,91,0,86,1
2025,3,2,131,100500,91,0,86,1
2025,2,2,42,210000,91,0,86,1
2025,2,2,42,172000,91,0,86,1
2025,2,2,42,115000,13,0,12,1
2025,2,2,42,90000,13,0,12,1
2025,3,2,28,242650,91,0,86,1
2025,3,2,28,168800,91,0,86,1
2025,3,2,319,110000,91,0,86,1
2025,3,2,319,90000,91,0,86,1
2025,2,2,294,250000,91,0,86,1
2025,2,2,294,160000,91,0,86,1
2025,2,2,197,211420,91,0,86,1
2025,2,2,197,149750,91,0,86,1
2025,3,2,331,198000,91,0,86,1
2025,3,2,331,86800,91,0,86,1
2025,3,2,28,125000,91,0,86,1
2025,3,2,28,100000,91,0,86,1
2025,3,2,247,215270,91,100,86,1
2025,3,2,247,137000,91,100,86,1
2025,3,2,314,100000,91,0,86,1
2025,3,2,28,119000,91,0,86,1
2025,3,2,28,95200,91,0,86,1
2025,3,2,28,25263,83,0,80,1
2025,3,2,28,25263,83,0,80,1
2025,3,2,28,176000,91,0,86,1
2025,3,2,28,77600,91,0,86,1
2025,3,2,197,156420,91,0,86,1
2025,3,2,197,99500,91,0,86,1
2025,2,2,319,174000,91,0,86,1
2025,2,2,319,100000,91,0,86,1
2025,3,2,70,121400,91,100,86,1
2025,3,2,70,89000,91,100,86,1
2025,3,2,162,127000,91,0,86,1
2025,3,2,162,73000,91,0,86,1
2025,2,2,162,246200,91,0,86,1
2025,2,2,162,105000,91,0,86,1
2025,3,2,162,220000,91,0,86,1
2025,3,2,162,110000,91,0,86,1
2025,2,2,162,93953,64,0,62,1
2025,2,2,162,55755,64,0,62,1
2025,3,2,162,63157,55,0,53,1
2025,3,2,162,50526,55,0,53,1
2025,3,2,98,155000,91,0,86,1
2025,3,2,98,80000,91,0,86,1
2025,3,2,98,147900,91,0,86,1
2025,3,2,98,103500,91,0,86,1
2025,0,2,98,141000,91,0,86,1
2025,0,2,98,61900,91,0,86,1
2025,2,2,98,95000,91,0,86,1
2025,2,2,98,85000,91,0,86,1
2025,3,2,319,180000,91,0,86,1
2025,3,2,319,90000,91,0,86,1
2025,3,2,319,220000,91,0,86,1
2025,3,2,319,110000,91,0,86,1
2025,3,2,231,297600,13,0,12,1
2025,3,2,231,148000,13,0,12,1
2025,3,2,231,194600,91,0,86,1
2025,3,2,231,226500,91,0,86,1
2025,3,2,231,297600,91,0,86,1
2025,3,2,231,167200,91,0,86,1
2025,3,2,318,199200,13,0,12,1
2025,3,2,318,132800,13,0,12,1
2025,2,2,139,44842,55,0,53,1
2025,2,2,139,31389,55,0,53,1
2025,2,2,114,257000,91,0,86,1
2025,2,2,114,112800,91,0,86,1
2025,3,2,114,223600,91,0,86,1
2025,3,2,114,152200,91,0,86,1
2025,2,2,42,122200,91,0,86,1
2025,2,2,42,67600,91,0,86,1
2025,0,2,28,153925,91,0,86,1
2025,0,2,28,85150,91,0,86,1
2025,3,2,247,327200,91,100,86,1
2025,3,2,247,138400,91,100,86,1
2025,2,2,197,231250,91,0,86,1
2025,2,2,197,111000,91,0,86,1
2025,3,2,197,300000,91,0,86,1
2025,3,2,197,150000,91,0,86,1
2025,3,2,319,215000,91,100,86,1
2025,3,2,319,90000,91,100,86,1
2025,3,2,197,196000,91,0,86,1
2025,3,2,197,135000,91,0,86,1
2025,2,2,167,81650,91,0,86,1
2025,2,2,167,60350,91,0,86,1
2025,0,2,167,67850,91,0,86,1
2025,0,2,167,50150,91,0,86,1
2025,3,2,167,194900,91,0,86,1
2025,3,2,167,114700,91,0,86,1
2025,3,2,30,135960,91,0,86,1
2025,3,2,30,86500,91,0,86,1
2025,3,2,30,169832,91,0,86,1
2025,3,2,30,125528,91,0,86,1
2025,3,2,247,180000,91,0,86,1
2025,3,2,247,112000,91,0,86,1
2025,2,2,3,63157,55,0,53,1
2025,2,2,3,37894,55,0,53,1
2025,3,2,322,265703,91,0,86,1
2025,3,2,322,196389,91,0,86,1
2025,2,2,178,98300,91,0,86,1
2025,2,2,178,61500,91,0,86,1
2025,3,2,109,207000,91,0,86,1
2025,3,2,109,142800,91,0,86,1
2025,3,2,114,105941,64,0,62,1
2025,3,2,114,65835,64,0,62,1
2025,2,2,114,105941,64,0,62,1
2025,2,2,114,65835,64,0,62,1
2025,3,2,114,107800,91,0,86,1
2025,3,2,114,57700,91,0,86,1
2025,2,2,114,235000,91,0,86,1
2025,2,2,114,133000,91,0,86,1
2025,2,2,42,138000,91,0,86,1
2025,2,2,42,82450,91,0,86,1
2025,2,2,319,178250,91,0,86,1
2025,2,2,319,139984,91,0,86,1
2025,3,2,162,45595,5,0,5,1
2025,3,2,162,45595,5,0,5,1
2025,3,2,319,188600,91,0,86,1
2025,3,2,319,170227,91,0,86,1
2025,3,2,302,171000,91,0,86,1
2025,3,2,302,95000,91,0,86,1
2025,3,2,162,276100,91,0,86,1
2025,3,2,162,167300,91,0,86,1
2025,3,2,0,334600,91,0,86,1
2025,3,2,0,211500,91,0,86,1
2025,1,2,197,179300,91,0,86,1
2025,3,2,114,67215,32,0,32,1
2025,3,2,114,60493,32,0,32,1
2025,3,2,114,98400,13,0,12,1
2025,3,2,114,65600,13,0,12,1
2025,2,2,247,94936,32,0,32,1
2025,2,2,247,88607,32,0,32,1
2025,3,2,319,195903,91,0,86,1
2025,3,2,319,160284,91,0,86,1
2025,2,2,82,100714,13,0,12,1
2025,2,2,82,62857,13,0,12,1
2025,3,2,247,179600,91,100,86,1
2025,3,2,247,148230,91,100,86,1
2025,2,2,167,58484,64,0,62,1
2025,2,2,167,44715,64,0,62,1
2025,2,2,247,150000,91,0,86,1
2025,2,2,247,120000,91,0,86,1
2025,2,2,247,150000,91,0,86,1
2025,2,2,247,120000,91,0,86,1
2025,2,2,98,100000,91,0,86,1
2025,2,2,98,85000,91,0,86,1
2025,3,2,28,95000,91,0,86,1
2025,3,2,28,90000,91,0,86,1
2025,3,2,231,150000,91,0,86,1
2025,3,2,231,130000,91,0,86,1
2025,3,2,247,277000,91,0,86,1
2025,3,2,247,170000,91,0,86,1
2025,3,2,197,155000,91,100,86,1
2025,3,2,197,125000,91,100,86,1
2025,3,2,314,198750,91,0,86,1
2025,3,2,314,142500,91,0,86,1
2025,3,2,284,210000,91,100,86,1
2025,3,2,284,170000,91,100,86,1
2025,3,2,231,322000,91,100,86,1
2025,3,2,231,230000,91,100,86,1
2025,3,2,162,231000,13,0,12,1
2025,3,2,162,168000,13,0,12,1
2025,3,2,162,264000,91,0,86,1
2025,3,2,162,192000,91,0,86,1
2025,3,2,319,139285,13,0,12,1
2025,3,2,319,114285,13,0,12,1
2025,3,2,109,204000,91,0,86,1
2025,3,2,109,143700,91,0,86,1
2025,2,2,270,120000,91,100,86,1
2025,2,2,270,90000,91,100,86,1
2025,3,2,30,120000,91,100,86,1
2025,3,2,30,100000,91,100,86,1
2025,2,2,30,56962,32,0,32,1
2025,2,2,30,44303,32,0,32,1
2025,3,2,197,190000,91,100,86,1
2025,3,2,197,160000,91,100,86,1
2025,3,2,114,148000,91,0,86,1
2025,3,2,114,133784,91,0,86,1
2025,2,2,247,100000,91,0,86,1
2025,2,2,319,183000,91,0,86,1
2025,2,2,319,150000,91,0,86,1
2025,2,2,319,178000,91,0,86,1
2025,2,2,319,146000,91,0,86,1
2025,3,2,114,125000,91,100,86,1
2025,3,2,114,105000,91,100,86,1
2025,2,2,114,145000,91,0,86,1
2025,2,2,114,116000,91,0,86,1
2025,3,2,98,161400,91,100,86,1
2025,3,2,98,113000,91,100,86,1
2025,2,2,98,174000,91,100,86,1
2025,2,2,98,113000,91,100,86,1
2025,3,2,105,175000,91,100,86,1
2025,3,2,105,100000,91,100,86,1
2025,0,2,60,23621,91,0,86,0
2025,0,2,60,23621,91,0,86,0
2025,3,2,98,145000,91,100,86,1
2025,3,2,98,100000,91,100,86,1
2025,2,2,48,31578,83,0,80,1
2025,2,2,48,31578,83,0,80,1
2025,2,2,39,260000,91,0,86,0
2025,2,2,39,150400,91,0,86,0
2025,2,2,39,212800,91,0,86,0
2025,2,2,39,129400,91,0,86,0
2025,3,2,42,275000,91,0,86,1
2025,3,2,42,275000,91,0,86,1
2025,3,2,284,160000,91,0,86,1
2025,3,2,284,110000,91,0,86,1
2025,3,2,319,230000,91,0,86,1
2025,3,2,319,170400,91,0,86,1
2025,3,2,314,198440,91,100,86,1
2025,3,2,314,116100,91,100,86,1
2025,3,2,319,255112,91,100,86,1
2025,3,2,319,194852,91,100,86,1
2025,3,2,319,275000,91,0,86,1
2025,3,2,319,220000,91,0,86,1
2025,3,2,162,203000,13,0,12,1
2025,3,2,162,128300,13,0,12,1
2025,2,2,42,140000,91,0,86,1
2025,2,2,42,120000,91,0,86,1
2025,3,2,31,220000,91,100,86,1
2025,3,2,31,140000,91,100,86,1
2025,3,2,294,256000,91,100,86,1
2025,3,2,294,160000,91,100,86,1
2025,3,2,197,181500,91,0,86,1
2025,3,2,197,142000,91,0,86,1
2025,2,2,247,160000,91,0,86,1
2025,2,2,247,128000,91,0,86,1
2025,3,2,319,317880,91,0,86,1
2025,3,2,319,211920,91,0,86,1
2025,2,2,337,190000,91,0,86,1
2025,2,2,337,160000,91,0,86,1
2025,2,2,284,120000,91,0,86,1
2025,2,2,284,110000,91,0,86,1
2025,3,2,197,227000,91,0,86,1
2025,3,2,197,173000,91,0,86,1
2025,1,2,192,325000,91,0,86,1
2025,1,2,192,250000,91,0,86,1
2025,3,2,197,300000,91,0,86,1
2025,3,2,231,195000,91,0,86,1
2025,2,2,302,160000,91,0,86,1
2025,2,2,302,131000,91,0,86,1
2025,3,2,69,233800,91,0,86,1
2025,3,2,69,106300,91,0,86,1
2025,3,2,69,268900,91,0,86,1
2025,3,2,69,122200,91,0,86,1
2025,3,2,162,335720,91,100,86,1
2025,3,2,162,163064,91,100,86,1
2025,3,2,247,200000,91,0,86,1
2025,3,2,247,160000,91,0,86,1
2025,3,2,247,200000,91,0,86,1
2025,3,2,247,160000,91,0,86,1
2025,3,2,162,155000,91,0,86,1
2025,3,2,162,119600,91,0,86,1
2025,3,2,162,210000,91,100,86,1
2025,3,2,162,178500,91,100,86,1
2025,3,2,4,275000,91,0,86,1
2025,3,2,4,220000,91,0,86,1
2025,3,2,28,119000,91,0,86,1
2025,3,2,28,88100,91,0,86,1
2025,0,2,264,86825,91,0,86,1
2025,0,2,264,64175,91,0,86,1
2025,2,2,188,189175,91,0,86,1
2025,2,2,188,104650,91,0,86,1
2025,3,2,114,125000,13,0,12,1
2025,3,2,114,115000,13,0,12,1
2025,2,2,114,140000,13,0,12,1
2025,2,2,114,100000,13,0,12,1
2025,3,2,114,272000,91,0,86,1
2025,3,2,114,181000,91,0,86,1
2025,2,2,114,113880,91,0,86,1
2025,2,2,114,75920,91,0,86,1
2025,2,2,114,86400,55,0,53,1
2025,2,2,114,57600,55,0,53,1
2025,3,2,114,142620,91,0,86,1
2025,3,2,114,128360,91,0,86,1
2025,3,2,4,200000,91,100,86,1
2025,3,2,4,140000,91,100,86,1
2025,0,2,319,48505,55,0,53,1
2025,0,2,319,32336,55,0,53,1
2025,3,2,319,277500,91,0,86,1
2025,3,2,319,158500,91,0,86,1
2025,3,2,197,201600,91,0,86,1
2025,3,2,197,134400,91,0,86,1
2025,2,2,317,137860,91,0,86,1
2025,2,2,317,81094,91,0,86,1
2025,3,2,188,184000,91,0,86,1
2025,3,2,188,136000,91,0,86,1
2025,2,2,247,245000,91,0,86,1
2025,2,2,247,230000,91,0,86,1
2025,2,2,188,170000,91,100,86,1
2025,2,2,188,130000,91,100,86,1
2025,2,2,319,240000,91,100,86,1
2025,2,2,319,160000,91,100,86,1
2025,3,2,197,264500,91,0,86,1
2025,3,2,197,161000,91,0,86,1
2025,3,2,319,225000,91,0,86,1
2025,3,2,319,175000,91,0,86,1
2025,0,2,28,37974,32,0,32,1
2025,0,2,28,35443,32,0,32,1
2025,3,2,319,307000,91,100,86,1
2025,3,2,319,244000,91,100,86,1
2025,0,2,28,250000,91,0,86,1
2025,0,2,28,200000,91,0,86,1
2025,3,2,28,217500,91,100,86,1
2025,3,2,28,157000,91,100,86,1
2025,3,2,28,91746,32,0,32,1
2025,3,2,28,61164,32,0,32,1
2025,0,2,319,122200,91,0,86,1
2025,0,2,319,67600,91,0,86,1
2025,2,2,319,224500,91,0,86,1
2025,2,2,319,109350,91,0,86,1
2025,0,2,197,44210,55,100,53,1
2025,0,2,197,31578,55,100,53,1
2025,3,2,319,253000,91,0,86,1
2025,3,2,319,130000,91,0,86,1
2025,3,2,197,200000,91,0,86,1
2025,3,2,197,139000,91,0,86,1
2025,3,2,113,190137,91,100,86,1
2025,3,2,113,129639,91,100,86,1
2025,3,2,153,170000,91,0,86,1
2025,3,2,153,110000,91,0,86,1
2025,2,2,114,51789,57,0,55,1
2025,2,2,114,27789,57,0,55,1
2025,2,2,114,40506,32,0,32,1
2025,2,2,114,34810,32,0,32,1
2025,0,2,114,40506,32,0,32,1
2025,0,2,114,34810,32,0,32,1
2025,2,2,231,163695,91,0,86,1
2025,2,2,231,109000,91,0,86,1
2025,3,2,206,180000,91,100,86,1
2025,3,2,206,140000,91,100,86,1
2025,2,2,162,121971,91,0,86,1
2025,2,2,162,81307,91,0,86,1
2025,0,2,98,85000,91,0,86,1
2025,0,2,98,75000,91,0,86,1
2025,3,2,98,142166,91,0,86,1
2025,3,2,98,88854,91,0,86,1
2025,0,2,88,40506,32,0,32,1
2025,0,2,88,34810,32,0,32,1
2025,0,2,88,40506,32,0,32,1
2025,0,2,88,34810,32,0,32,1
2025,2,2,197,79402,32,0,32,1
2025,2,2,197,59158,32,0,32,1
2025,3,2,247,221000,91,0,86,1
2025,3,2,247,160000,91,0,86,1
2025,2,2,319,200200,91,0,86,1
2025,2,2,319,169442,91,0,86,1
2025,2,2,294,225000,91,0,86,1
2025,2,2,294,173000,91,0,86,1
2025,2,2,317,223400,91,0,86,1
2025,2,2,317,96800,91,0,86,1
2025,2,2,284,169426,91,0,86,1
2025,2,2,284,118598,91,0,86,1
2025,0,2,343,68000,91,0,86,1
2025,0,2,343,46000,91,0,86,1
2025,3,2,114,170000,91,0,86,1
2025,3,2,114,153300,91,0,86,1
2025,2,2,114,32842,83,0,80,1
2025,2,2,114,20210,83,0,80,1
2025,3,2,114,218600,91,0,86,1
2025,3,2,114,128600,91,0,86,1
2025,2,2,247,81936,91,0,86,1
2025,2,2,247,81096,91,0,86,1
2025,2,2,106,128300,91,0,86,1
2025,2,2,106,73300,91,0,86,1
2025,0,2,98,80000,91,0,86,1
2025,0,2,98,65000,91,0,86,1
2025,2,2,98,101000,91,100,86,1
2025,2,2,98,64000,91,100,86,1
2025,3,2,162,162000,91,0,86,1
2025,3,2,162,97000,91,0,86,1
2025,2,2,115,36000,91,0,86,1
2025,2,2,115,30000,91,0,86,1
2025,2,2,42,180000,91,0,86,1
2025,2,2,42,153000,91,0,86,1
2025,3,2,109,151900,91,0,86,1
2025,3,2,131,67479,32,0,32,1
2025,3,2,131,53983,32,0,32,1
2025,0,2,28,155000,91,0,86,1
2025,0,2,28,114236,91,0,86,1
2025,2,2,82,200000,91,0,86,1
2025,2,2,82,137510,91,0,86,1
2025,2,2,82,130000,91,0,86,1
2025,2,2,82,92242,91,0,86,1
2025,2,2,319,170000,91,0,86,1
2025,2,2,319,140000,91,0,86,1
2025,3,2,40,98400,91,0,86,1
2025,3,2,40,84180,91,0,86,1
2025,2,2,188,128600,91,0,86,1
2025,2,2,188,90500,91,0,86,1
2025,2,2,301,250000,91,0,86,1
2025,2,2,301,180000,91,0,86,1
2025,3,2,33,104000,91,100,86,1
2025,3,2,33,72800,91,100,86,1
2025,3,2,162,38096,31,0,31,1
2025,3,2,162,38096,31,0,31,1
2025,3,2,162,160000,91,0,86,1
2025,3,2,162,140000,91,0,86,1
2025,3,2,162,150000,91,100,86,1
2025,3,2,162,113000,91,100,86,1
2025,2,2,167,85000,91,0,86,1
2025,2,2,167,75000,91,0,86,1
2025,3,2,153,273100,91,100,86,1
2025,3,2,153,128200,91,100,86,1
2025,3,2,319,300000,91,0,86,1
2025,3,2,319,144400,91,0,86,1
2025,1,2,211,275000,91,100,86,1
2025,1,2,211,230000,91,100,86,1
2025,3,2,247,185000,91,0,86,1
2025,3,2,247,170000,91,0,86,1
2025,3,2,328,156900,91,0,86,1
2025,3,2,328,82600,91,0,86,1
2025,1,2,211,151898,32,0,32,1
2025,1,2,211,101265,32,0,32,1
2025,3,2,114,113924,32,0,32,1
2025,3,2,114,105063,32,0,32,1
2025,2,2,323,200000,91,0,86,1
2025,2,2,323,160000,91,0,86,1
2025,2,2,4,42202,5,0,5,1
2025,2,2,4,42202,5,0,5,1
2025,2,2,4,126582,32,0,32,1
2025,2,2,4,101265,32,0,32,1
2025,2,2,4,164556,32,0,32,1
2025,2,2,4,139240,32,0,32,1
2025,3,2,4,210000,91,0,86,1
2025,3,2,4,135000,91,0,86,1
2025,2,2,4,262000,91,0,86,1
2025,2,2,4,134000,91,0,86,1
2025,3,2,4,198000,91,100,86,1
2025,3,2,4,145000,91,100,86,1
2025,3,2,247,142600,91,0,86,1
2025,3,2,28,90000,91,0,86,1
2025,3,2,28,85000,91,0,86,1
2025,3,2,98,114737,91,100,86,1
2025,3,2,98,73432,91,100,86,1
2025,3,2,228,215000,91,0,86,1
2025,3,2,228,150000,91,0,86,1
2025,3,2,228,220000,91,0,86,1
2025,3,2,228,160000,91,0,86,1
2025,2,2,3,294600,91,0,86,1
2025,2,2,3,141400,91,0,86,1
2025,3,2,319,227500,91,100,86,1
2025,3,2,319,172500,91,100,86,1
